by,descendants,id,kids,score,time,title,type,url,text
adif_sgaid,1.0,40272875,"[40275155, 40275204]",33,1714988724,Pure-PyTorch Implementation of Kolmogorov-Arnold Network (Kan),story,https://github.com/Blealtan/efficient-kan,
jimwang,2.0,40266682,[40267014],22,1714931137,What's bad about this habit (2009) [pdf],story,https://www.ehu.eus/aitor/irakas/mes/Reference/mermin.pdf,
ingve,4.0,40266214,"[40275315, 40275001, 40269643, 40271575]",23,1714927682,Minimalist Guide to AV1 Video Encoding,story,https://tech.marksblogg.com/av1-video-encoding.html,
srvaroa,33.0,40247373,"[40268435, 40271065, 40270252, 40268095, 40267011, 40272752, 40271256, 40267251, 40266989, 40268305, 40267274, 40267005, 40267522, 40270517, 40267038, 40267978]",27,1714742457,Identifiers are better off without meaning,story,https://varoa.net/2024/05/01/identifiers-are-better-off-without-meaning.html,
robertvc,46.0,40261550,"[40266093, 40264384, 40262698, 40264505, 40265974, 40263051, 40266194, 40265517, 40266795, 40262342]",93,1714870865,Understanding Stein's Paradox (2021),story,https://joe-antognini.github.io/machine-learning/steins-paradox,
jsiepkes,135.0,40260399,"[40262892, 40261710, 40265101, 40265223, 40261698, 40265428, 40264913, 40262803, 40266293, 40265293, 40269098, 40265262, 40262459, 40263251, 40261851, 40263785, 40261713, 40262623]",171,1714857874,Superfest – The almost unbreakable East German Glass (2021),story,https://digitalcosmonaut.com/superfest-ceverit-glass-ddr/,
paulpauper,264.0,40268204,"[40269243, 40269742, 40268602, 40269288, 40273976, 40270796, 40270263, 40272737, 40270567, 40270496, 40269884, 40270552, 40272295, 40270787, 40270308, 40269763, 40269651, 40271239, 40271071, 40270303, 40269248, 40269002, 40270405, 40269553, 40268967, 40269375, 40270649, 40269061]",272,1714942117,“Meta spent almost as much as the Manhattan Project on GPUs in today's dollars”,story,https://twitter.com/emollick/status/1786213463456448900,
desperatecuban,33.0,40273243,"[40273561, 40273624, 40274475, 40273566, 40273676, 40273787, 40274078, 40273622, 40273581, 40274470, 40273649, 40273634, 40273552, 40273542, 40273658, 40273595, 40273537, 40273576, 40273736]",88,1714993362,Preview Builds of the Zed Editor Now Available for Linux,story,https://zed.dev/releases/preview,
ignored,25.0,40261014,"[40267122, 40267417, 40274069, 40267065, 40268085, 40267302, 40268705, 40267494, 40268323, 40267630, 40267616, 40268880]",32,1714863899,What makes a translation great?,story,https://scroll.in/article/876969/what-makes-a-translation-great-ten-literary-translators-from-across-the-world-weigh-in,
pabs3,24.0,40261926,"[40265779, 40263474, 40263734, 40264129]",60,1714877547,Digital Telecommunication in HF band - WWWAN - World-Wide Wireless Area Network,story,https://pretalx.sysmocom.de/osmodevcon2024/talk/BBZBGM/,
_wire_,0.0,40270095,,8,1714956925,Show HN: Ddrescue-helper.sh – A bash script for GNU ddrescue,story,https://github.com/c-o-pr/ddrescue-helper,"ddrescue-helper.sh is a bash script to make running GNU ddrescue easier.<p>Do you have a spinning drive with read errors that you can&#x27;t access?\
Do you need to rescue a drive, partition, or file from read errors?<p>ddrescue-helper.sh might be useful.<p>This is a pure bash script that hooks you up to the majesty that is GNU ddrescue, and makes it more useful.<p>For Linux and macOS.<p>Rescue...
- device-to-device
- device-to-file (image)
- file-to-file<p>Consistency checks help avoid user mistakes, such as trying to place the domain map on a target device, or targeting the boot drive.<p>Auto persistent un-mount via &#x2F;etc&#x2F;fstab ensures rescue integrity.<p>Ddrescue&#x27;s domain-map file and read-rate logs are placed in a directory named by the user.<p>Once you have a ddrescue domain map, a REPORT function lists files affected by read errors and slow-reads for supported filesystems...\
Linux: NTFS, ext2&#x2F;3&#x2F;4, HFS+\
macOS: HFS+.<p>Making a device or file copy is the best way to rescue. But if you need to work in situ with a filesystem or file that contains bad blocks, this helper offers a ZAP function that uses the domain map to write device blocks with read errors to attempt to make the blocks readable. This can regain access to an unreadable file, or make an un-mountable filesystem accessible, aiding further forensics (the data in the bad blocks are gone, but gaining device access may still be valuable).<p>An -K option allows ZAP of 4K blocks, for advanced format drives, instead of the default 512-byte block. This option may encourage the drive to re-allocate a bad sector.<p>(ZAP doesn&#x27;t rely on hdparm, it uses dd(1) to target single blocks.)<p>A PLOT function uses gnuplot to render the GNU ddrescue read-rate log as a simple graph at the terminal, helping you assess device health.<p>By rescuing (COPYING) to &#x2F;dev&#x2F;null instead of a proper destination, you can SCAN a source to create the domain-map and read-rate log without replicating to another device. This lets you REPORT, ZAP, and PLOT a source without need for a target device-- maybe you don&#x27;t have a spare.<p>If nothing else, a bit assistance running GNU ddrescue might be just the ticket.<p>DOCUMENTATION:<p>- The github README.md
- Built-in help. (-h)
- A LinkedIn article describing the helper&#x27;s use:<p><a href=""https:&#x2F;&#x2F;www.linkedin.com&#x2F;feed&#x2F;update&#x2F;urn:li:activity:7177497724383088640"" rel=""nofollow"">https:&#x2F;&#x2F;www.linkedin.com&#x2F;feed&#x2F;update&#x2F;urn:li:activity:7177497...</a><p>—<p>WARNING! This script has so far only been tested by me and mistakes due to maker myopia are likely. Plus bash is a can&#x27;o&#x27;worms!<p>While I believe this helper is not fundamentally dangerous, try it in a situation that&#x27;s low stakes to start. There&#x27;s a time for disaster later.<p>Also try to overlook that a huge bash script seems like an epic security hazard.<p>If something goes wrong, you should&#x27;ve voted for Kodos.<p>—<p>I would appreciate laments about the approach and code.<p>The github README.md contains thoughts about many concerns &amp; improvements.\
(see TODOs at the end.)<p>I think the most gross part of this script is the mainline option processing, so pointers to idioms for smarter option processing will be appreciated. But beat me over the head in any way you like.<p>I am a github noob so I have no idea how collaboration works over there, but I&#x27;m ready to learn.<p>—<p>I truly enjoy the nightmare that is the Unix shell. So I have no intention of rewriting this in a more palatable language. I just wanted to hack together a tool to help me work with failing drives and this script took on a life of its own.<p>Blame these guys:<p>AT&amp;T The UNIX System: Making Computers More Productive (1982)<p><a href=""https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=tc4ROCJYbm0"" rel=""nofollow"">https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=tc4ROCJYbm0</a><p>I like to think that old K &amp; R and KenT would have only dreamed of shell utility that is this byzantine.<p>With any luck this code will soon be polluting a LLM."
alexmolas,59.0,40245261,"[40261540, 40262622, 40261833, 40260370, 40261840, 40261821, 40262990, 40245530, 40272209, 40270584, 40261860, 40261900, 40262879, 40254565, 40262905, 40264131, 40262023]",124,1714722712,Using a LLM to compress text,story,https://o565.com/llm-text-compression/,
IMSAI8080,195.0,40262883,"[40265929, 40265509, 40272687, 40267180, 40272125, 40272552, 40263540, 40263684, 40263592, 40265559, 40263339, 40263064, 40263329, 40263822, 40272554, 40267708, 40268836, 40268203, 40262884, 40266714, 40271416, 40272712, 40263437, 40268567, 40263285, 40269761, 40263813, 40263360, 40268632, 40267456, 40263311, 40265852, 40265801, 40263731, 40269052, 40269300, 40266059, 40265476, 40265281, 40263347, 40267865]",152,1714892876,North Yorkshire Council to phase out apostrophe use on street signs,story,https://www.bbc.co.uk/news/uk-england-york-north-yorkshire-68942321,
kylegalbraith,0.0,40262680,[40274754],22,1714890035,Building Containers from Scratch: Layers,story,https://depot.dev/blog/building-container-layers-from-scratch,
spirit23,39.0,40262236,"[40262655, 40265908, 40262942, 40266407, 40263378, 40264146, 40266351, 40263253, 40262955, 40269519, 40263917, 40264221, 40262763, 40269303]",228,1714883170,Time-Based CSS Animations,story,https://yuanchuan.dev/time-based-css-animations,
danny00,38.0,40261681,"[40275238, 40262369, 40262640, 40262263, 40262393, 40262928, 40265218, 40262402, 40263221, 40263059, 40262522, 40262386, 40263300, 40263155, 40262191, 40262149, 40263768, 40265169]",260,1714873145,Automated integer hash function discovery,story,https://github.com/skeeto/hash-prospector,
gulced,0.0,40269252,,8,1714948774,Monitoring the weather with an Arduino MKR WiFi 1010-based station,story,https://blog.arduino.cc/2024/05/05/monitoring-the-weather-with-an-arduino-mkr-wifi-1010-based-station/,
